,title,rating,categories,description,keyword
13,The Man in the High Castle,8.0,"['Drama', 'Sci-Fi', 'Thriller']","In a dystopian America dominated by Nazi Germany and Imperial Japan, a young woman discovers a mysterious film that may hold the key to toppling the totalitarian regimes.",alternate history
14,Pennyworth,7.9,"['Action', 'Crime', 'Drama']","The origin story of Alfred Pennyworth, a former special-forces soldier living in London and how he came to work for Bruce Wayne's father.",alternate history
15,Star Trek,7.9,"['Action', 'Adventure', 'Sci-Fi']",The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,alternate history
16,Terminator 2: Judgment Day,8.5,"['Action', 'Sci-Fi']","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son, John Connor, from a more advanced and powerful cyborg.",alternate history
17,La forma del agua,7.3,"['Adventure', 'Drama', 'Fantasy']","At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.",alternate history
18,Palm Springs,7.4,"['Comedy', 'Fantasy', 'Mystery']","Stuck in a time loop, two wedding guests develop a budding romance while living the same day over and over again.",alternate history
19,The Terminator,8.0,"['Action', 'Sci-Fi']","A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",alternate history
20,X-Men: Apocalypse,6.9,"['Action', 'Adventure', 'Sci-Fi']","In the 1980s the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world.",alternate history
21,Hunters,7.2,"['Crime', 'Drama', 'Mystery']","In 1977, in New York City, a troubled young Jewish man bent on revenge is taken in by a secret group of Nazi hunters fighting a clandestine war against the cabal of high-ranking Nazi officials in hiding who work to create the Fourth Reich.",alternate history
22,Quantum Leap,8.1,"['Action', 'Adventure', 'Drama']","During a government experiment into time travel, a scientist finds himself trapped in the past, ""leaping"" into the bodies of different people on a regular basis and sorting out their problems whilst trying to get back home to his own time.",alternate history
23,Timeless,7.7,"['Action', 'Adventure', 'Drama']",An unlikely trio travel through time in order to battle unknown criminals and protect history as we know it.,alternate history
24,History of the World: Part I,6.9,"['Comedy', 'History', 'Musical']",Mel Brooks brings his one-of-a-kind comic touch to the history of mankind covering events from the Old Testament to the French Revolution in a series of episodic comedy vignettes.,alternate history
25,Planet of the Apes,5.7,"['Action', 'Adventure', 'Sci-Fi']","In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans.",alternate history
26,Groundhog Day,8.0,"['Comedy', 'Fantasy', 'Romance']",A jaded Pittsburgh weatherman finds himself inexplicably trapped in a small town as he lives the same day over and over again.,alternate history
27,Volver al futuro II,7.8,"['Adventure', 'Comedy', 'Sci-Fi']","After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.",alternate history
28,Bright,6.3,"['Action', 'Fantasy', 'Thriller']",A detective must work with an Orc to find a powerful wand before evil creatures do.,alternate history
29,It's a Wonderful Life,8.6,"['Drama', 'Family', 'Fantasy']",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,alternate history
30,Twelve Monkeys,8.0,"['Mystery', 'Sci-Fi', 'Thriller']","In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",alternate history
31,Transformers 3: El lado oscuro de la luna,6.2,"['Action', 'Adventure', 'Sci-Fi']","The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.",alternate history
32,Citizen Kane,8.3,"['Drama', 'Mystery']","Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",alternate history
33,Hombres de negro III,6.8,"['Action', 'Adventure', 'Comedy']",Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.,alternate history
34,The Time Machine,6.0,"['Action', 'Adventure', 'Sci-Fi']","Hoping to alter the events of the past, a 19th century inventor instead travels 800,000 years into the future, where he finds humankind divided into two warring races.",alternate history
35,María Antonieta,6.5,"['Biography', 'Drama', 'History']","The retelling of France's iconic but ill-fated queen, Marie Antoinette. From her betrothal and marriage to Louis XVI at 14 to her reign as queen at 19 and to the end of her reign as queen, and ultimately the fall of Versailles.",alternate history
36,Hot Tub Time Machine,6.4,"['Comedy', 'Sci-Fi']","A malfunctioning time machine at a ski resort takes a man back to 1986 with his two friends and nephew, where they must relive a fateful night and not change anything to make sure the nephew is born.",alternate history
37,Independence Day: Resurgence,5.2,"['Action', 'Adventure', 'Sci-Fi']","Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?",alternate history
