,title,rating,categories,description,keyword
10,Fear the Walking Dead,6.9,"['Drama', 'Horror', 'Sci-Fi']","A Walking Dead spinoff set in Los Angeles, California. Follows two families who must band together to survive the undead apocalypse.",father daughter relationship
11,Downton Abbey,8.7,"['Drama', 'Romance']",A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,father daughter relationship
12,Goliath,8.2,['Drama'],"A disgraced lawyer, now an ambulance chaser, gets a case that could bring him redemption or at least revenge on the firm which expelled him.",father daughter relationship
13,The Flash,7.6,"['Action', 'Adventure', 'Drama']","After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City.",father daughter relationship
14,Modern Family,8.4,"['Comedy', 'Drama', 'Romance']",Three different but related families face trials and tribulations in their own uniquely comedic ways.,father daughter relationship
15,Riverdale,6.7,"['Crime', 'Drama', 'Mystery']","While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.",father daughter relationship
16,A Nightmare on Elm Street,7.5,['Horror'],The monstrous spirit of a slain child murderer seeks revenge by invading the dreams of teenagers whose parents were responsible for his untimely death.,father daughter relationship
17,The Simpsons,8.6,"['Animation', 'Comedy']",The satiric adventures of a working-class family in the misfit city of Springfield.,father daughter relationship
18,Beetle Juice,7.5,"['Comedy', 'Fantasy']","The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out.",father daughter relationship
19,It's Always Sunny in Philadelphia,8.8,['Comedy'],Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,father daughter relationship
20,Batwoman,3.4,"['Action', 'Adventure', 'Crime']",Batwoman seeks justice for Gotham City.,father daughter relationship
21,Entre navajas y secretos,7.9,"['Comedy', 'Crime', 'Drama']","A detective investigates the death of a patriarch of an eccentric, combative family.",father daughter relationship
22,Blade Runner 2049,8.0,"['Action', 'Drama', 'Mystery']","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",father daughter relationship
23,How I Met Your Mother,8.3,"['Comedy', 'Romance']",A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,father daughter relationship
24,Pequeños Secretos,6.3,"['Crime', 'Drama', 'Mystery']","Kern County Deputy Sheriff Joe Deacon is sent to Los Angeles for what should have been a quick evidence-gathering assignment. Instead, he becomes embroiled in the search for a serial killer who is terrorizing the city.",father daughter relationship
25,Parásito,8.6,"['Comedy', 'Drama', 'Thriller']",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,father daughter relationship
26,The Addams Family,6.9,"['Comedy', 'Fantasy']",Con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.,father daughter relationship
27,Avengers: Endgame,8.4,"['Action', 'Adventure', 'Drama']","After the devastating events of <a href=""/title/tt4154756"">Avengers: Infinity War</a> (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",father daughter relationship
28,The X Files,8.6,"['Crime', 'Drama', 'Mystery']","Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.",father daughter relationship
29,Interestelar,8.6,"['Adventure', 'Drama', 'Sci-Fi']",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,father daughter relationship
30,Candyman,6.0,"['Horror', 'Thriller']","A sequel to the horror film <a href=""/title/tt0103919"">Candyman</a> (1992) that returns to the now-gentrified Chicago neighborhood where the legend began.",father daughter relationship
31,Schitt's Creek,8.5,['Comedy'],"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.",father daughter relationship
32,Family Guy,8.1,"['Animation', 'Comedy']","In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another.",father daughter relationship
33,The Dark Knight,9.0,"['Action', 'Crime', 'Drama']","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",father daughter relationship
34,Los locos Addams,5.8,"['Animation', 'Adventure', 'Comedy']",The eccentrically macabre family moves to a bland suburb where Wednesday Addams' friendship with the daughter of a hostile and conformist local reality show host exacerbates conflict between the families.,father daughter relationship
35,It,7.3,['Horror'],"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",father daughter relationship
36,Poltergeist,7.3,"['Horror', 'Thriller']",A family's home is haunted by a host of demonic ghosts.,father daughter relationship
37,El lobo de Wall Street,8.2,"['Biography', 'Comedy', 'Crime']","Based on the true story of <a href=""/name/nm0067789"">Jordan Belfort</a>, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",father daughter relationship
38,Buffy the Vampire Slayer,8.2,"['Action', 'Drama', 'Fantasy']","A young woman, destined to slay vampires, demons and other infernal creatures, deals with her life fighting evil, with the help of her friends.",father daughter relationship
39,Blue Bloods,7.6,"['Crime', 'Drama', 'Mystery']",Revolves around a family of New York cops.,father daughter relationship
40,Friday Night Lights,8.6,"['Drama', 'Sport']","A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor.",father daughter relationship
41,Intriga,8.1,"['Crime', 'Drama', 'Mystery']","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",father daughter relationship
42,Mad Men,8.6,['Drama'],"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",father daughter relationship
43,El Padrino,9.2,"['Crime', 'Drama']",The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,father daughter relationship
44,Heat,8.2,"['Crime', 'Drama', 'Thriller']",A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,father daughter relationship
45,Nadie,7.4,"['Action', 'Crime', 'Drama']","A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him going to a bloody war with a Russian crime boss.",father daughter relationship
46,Halloween II,4.8,['Horror'],"Laurie Strode struggles to come to terms with her brother Michael's deadly return to Haddonfield, Illinois; meanwhile, Michael prepares for another reunion with his sister.",father daughter relationship
47,Homeland,8.3,"['Crime', 'Drama', 'Mystery']",A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.,father daughter relationship
48,Doctor Sueño,7.3,"['Drama', 'Fantasy', 'Horror']","Years following the events of <a href=""/title/tt0081505"">The Shining</a> (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal.",father daughter relationship
49,Killing Eve,8.2,"['Action', 'Adventure', 'Drama']","After a series of events, the lives of a security operative and an assassin become inextricably linked.",father daughter relationship
0,Duna,8.3,"['Action', 'Adventure', 'Drama']","Feature adaptation of Frank Herbert's science fiction novel, about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.",father son relationship
1,Halloween Kills: La Noche Aún No Termina,5.8,"['Horror', 'Thriller']",The saga of Michael Myers and Laurie Strode continues in the next thrilling chapter of the Halloween series.,father son relationship
2,Succession,8.7,['Drama'],"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.",father son relationship
3,Dune,6.4,"['Action', 'Adventure', 'Sci-Fi']",A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.,father son relationship
4,Sex Education,8.3,"['Comedy', 'Drama']",A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,father son relationship
5,The French Dispatch,7.5,"['Comedy', 'Drama', 'Romance']","A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"".",father son relationship
6,The Sopranos,9.2,"['Crime', 'Drama']","New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.",father son relationship
7,Halloween,6.6,"['Crime', 'Horror', 'Thriller']","Laurie Strode confronts her long-time foe Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago.",father son relationship
8,Los santos de la mafia,6.4,"['Crime', 'Drama']","Witness the making of Tony Soprano. The story that reveals the humanity behind Tony's struggles and the influence his family - especially his uncle, Dickie Moltisanti - had over him becoming the most iconic mob boss of all time.",father son relationship
9,Shang-chi y la leyenda de los diez anillos,7.9,"['Action', 'Adventure', 'Fantasy']","Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.",father son relationship
10,Chicago Fire,8.0,"['Action', 'Drama']","The story of firefighters and paramedics in the city of Chicago, both on a personal and professional level.",father son relationship
11,Viejos,5.8,"['Drama', 'Horror', 'Mystery']","A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day.",father son relationship
12,Breaking Bad,9.4,"['Crime', 'Drama', 'Thriller']",A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,father son relationship
13,Scream,7.3,"['Horror', 'Mystery']","A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game.",father son relationship
14,Yellowstone,8.6,"['Drama', 'Western']",A ranching family in Montana faces off against others encroaching on their land.,father son relationship
15,Supernatural,8.4,"['Drama', 'Fantasy', 'Horror']","Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.",father son relationship
16,Fear the Walking Dead,6.9,"['Drama', 'Horror', 'Sci-Fi']","A Walking Dead spinoff set in Los Angeles, California. Follows two families who must band together to survive the undead apocalypse.",father son relationship
17,Dexter,8.6,"['Crime', 'Drama', 'Mystery']","He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series.",father son relationship
18,Dune,7.0,"['Adventure', 'Drama', 'Fantasy']","A three-part miniseries on politics, betrayal, lust, greed and the coming of a Messiah. Based on Frank Herbert's classic science fiction novel.",father son relationship
19,Vikings,8.5,"['Action', 'Adventure', 'Drama']","Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",father son relationship
20,Mr. Robot,8.5,"['Crime', 'Drama', 'Thriller']","Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.",father son relationship
21,The Flash,7.6,"['Action', 'Adventure', 'Drama']","After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City.",father son relationship
22,Modern Family,8.4,"['Comedy', 'Drama', 'Romance']",Three different but related families face trials and tribulations in their own uniquely comedic ways.,father son relationship
23,Riverdale,6.7,"['Crime', 'Drama', 'Mystery']","While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.",father son relationship
24,The Green Knight,6.6,"['Adventure', 'Drama', 'Fantasy']",A fantasy retelling of the medieval story of Sir Gawain and the Green Knight.,father son relationship
25,The Simpsons,8.6,"['Animation', 'Comedy']",The satiric adventures of a working-class family in the misfit city of Springfield.,father son relationship
26,Old Henry,7.2,"['Thriller', 'Western']","An action western about a farmer who takes in an injured man with a satchel of cash. When a posse comes for the money, he must decide who to trust. Defending a siege, he reveals a gunslinging talent calling his true identity into question.",father son relationship
27,It's Always Sunny in Philadelphia,8.8,['Comedy'],Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,father son relationship
28,Rick and Morty,9.2,"['Animation', 'Adventure', 'Comedy']",An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,father son relationship
29,Entre navajas y secretos,7.9,"['Comedy', 'Crime', 'Drama']","A detective investigates the death of a patriarch of an eccentric, combative family.",father son relationship
30,Blade Runner 2049,8.0,"['Action', 'Drama', 'Mystery']","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",father son relationship
31,How I Met Your Mother,8.3,"['Comedy', 'Romance']",A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,father son relationship
32,Lost,8.3,"['Adventure', 'Drama', 'Fantasy']",The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,father son relationship
33,Parásito,8.6,"['Comedy', 'Drama', 'Thriller']",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,father son relationship
34,Avengers: Endgame,8.4,"['Action', 'Adventure', 'Drama']","After the devastating events of <a href=""/title/tt4154756"">Avengers: Infinity War</a> (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",father son relationship
35,The X Files,8.6,"['Crime', 'Drama', 'Mystery']","Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.",father son relationship
36,Interestelar,8.6,"['Adventure', 'Drama', 'Sci-Fi']",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,father son relationship
37,Rápidos y furiosos 9,5.2,"['Action', 'Adventure', 'Crime']",Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.,father son relationship
38,Schitt's Creek,8.5,['Comedy'],"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.",father son relationship
39,Family Guy,8.1,"['Animation', 'Comedy']","In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another.",father son relationship
40,The Dark Knight,9.0,"['Action', 'Crime', 'Drama']","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",father son relationship
41,Los locos Addams,5.8,"['Animation', 'Adventure', 'Comedy']",The eccentrically macabre family moves to a bland suburb where Wednesday Addams' friendship with the daughter of a hostile and conformist local reality show host exacerbates conflict between the families.,father son relationship
42,It,7.3,['Horror'],"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",father son relationship
43,Tenet,7.4,"['Action', 'Sci-Fi', 'Thriller']","Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",father son relationship
44,Poltergeist,7.3,"['Horror', 'Thriller']",A family's home is haunted by a host of demonic ghosts.,father son relationship
45,El lobo de Wall Street,8.2,"['Biography', 'Comedy', 'Crime']","Based on the true story of <a href=""/name/nm0067789"">Jordan Belfort</a>, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",father son relationship
46,Blue Bloods,7.6,"['Crime', 'Drama', 'Mystery']",Revolves around a family of New York cops.,father son relationship
47,Intriga,8.1,"['Crime', 'Drama', 'Mystery']","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",father son relationship
48,The Shining,8.4,"['Drama', 'Horror']","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",father son relationship
49,Mad Men,8.6,['Drama'],"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",father son relationship
0,Sin tiempo para morir,7.6,"['Action', 'Adventure', 'Thriller']","James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",femme fatale
1,Venom: Carnage liberado,6.3,"['Action', 'Adventure', 'Sci-Fi']","Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution.",femme fatale
2,Casino Royale,8.0,"['Action', 'Adventure', 'Thriller']","After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",femme fatale
3,Skyfall,7.8,"['Action', 'Adventure', 'Thriller']","James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",femme fatale
4,Hermosa venganza,7.5,"['Crime', 'Drama', 'Thriller']","A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path.",femme fatale
5,Cowboy Bebop,,"['Action', 'Adventure', 'Crime']",A ragtag crew of bounty hunters chases down the galaxy's most dangerous criminals. They'll save the world - for the right price.,femme fatale
6,G.I. Joe: Snake Eyes,5.4,"['Action', 'Adventure', 'Fantasy']",A G.I. Joe spin-off centered around the character of Snake Eyes.,femme fatale
7,Addams Family Values,6.8,"['Comedy', 'Fantasy']","The Addams Family try to rescue their beloved Uncle Fester from his gold-digging new love, a black widow named Debbie.",femme fatale
8,Scream 4,6.2,"['Horror', 'Mystery']","Ten years have passed, and Sidney Prescott, who has put herself back together thanks in part to her writing, is visited by the Ghostface Killer.",femme fatale
9,Doctor Sueño,7.3,"['Drama', 'Fantasy', 'Horror']","Years following the events of <a href=""/title/tt0081505"">The Shining</a> (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal.",femme fatale
10,Jennifer's Body,5.3,"['Comedy', 'Horror']",A newly possessed high school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror?,femme fatale
11,El origen,8.8,"['Action', 'Adventure', 'Sci-Fi']","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",femme fatale
12,Los juegos del hambre,7.2,"['Action', 'Adventure', 'Sci-Fi']",Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,femme fatale
13,The Lost Boys,7.3,"['Comedy', 'Horror']","After moving to a new town, two brothers discover that the area is a haven for vampires.",femme fatale
14,Thor: Ragnarok,7.9,"['Action', 'Adventure', 'Comedy']","Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",femme fatale
15,Ghost Ship,5.5,['Horror'],"A salvage crew discovers a long-lost 1962 passenger ship floating lifeless in a remote region of the Bering Sea, and soon notices that its long-dead inhabitants may still be on board.",femme fatale
16,Perdida,8.1,"['Drama', 'Mystery', 'Thriller']","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",femme fatale
17,Suicide Squad,5.9,"['Action', 'Adventure', 'Fantasy']",A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,femme fatale
18,Kaubôi bibappu,8.9,"['Animation', 'Action', 'Adventure']",The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,femme fatale
19,Batman: El caballero de la noche asciende,8.4,"['Action', 'Crime']","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",femme fatale
20,24,8.3,"['Action', 'Crime', 'Drama']",Jack Bauer races against the clock to subvert terrorist plots and save his nation from ultimate disaster.,femme fatale
21,Batoru rowaiaru,7.6,"['Action', 'Adventure', 'Drama']","In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.",femme fatale
22,Duro de cuidar 2,6.1,"['Action', 'Comedy', 'Crime']",The bodyguard Michael Bryce continues his friendship with assassin Darius Kincaid as they try to save Darius' wife Sonia.,femme fatale
23,Reminiscencia,5.9,"['Mystery', 'Romance', 'Sci-Fi']","Nick Bannister, a private investigator of the mind, navigates the alluring world of the past when his life is changed by new client Mae. A simple case becomes an obsession after she disappears and he fights to learn the truth about her.",femme fatale
24,Thir13en Ghosts,5.6,"['Fantasy', 'Horror']","When Cyrus Kriticos, a very rich collector of unique things, dies, he leaves house and fortune to his nephew and his family. While they're inside, they find they are not alone.",femme fatale
25,Practical Magic,6.3,"['Comedy', 'Drama', 'Fantasy']","Two witch sisters, raised by their eccentric aunts in a small town, face closed-minded prejudice and a curse which threatens to prevent them ever finding lasting love.",femme fatale
26,Twin Peaks,8.8,"['Crime', 'Drama', 'Mystery']",An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,femme fatale
27,Harry Potter y las reliquias de la muerte: Parte 2,8.1,"['Adventure', 'Fantasy', 'Mystery']","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",femme fatale
28,Battlestar Galactica,8.7,"['Action', 'Adventure', 'Drama']","When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth.",femme fatale
29,The Spy Who Loved Me,7.1,"['Action', 'Adventure', 'Thriller']","James Bond investigates the hijacking of British and Russian submarines carrying nuclear warheads, with the help of a K.G.B. agent whose lover he killed.",femme fatale
30,Spider-Man: un nuevo uiverso,8.4,"['Animation', 'Action', 'Adventure']","Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",femme fatale
31,Archenemy,5.0,"['Action', 'Adventure', 'Crime']","Max Fist claims to be a hero from another dimension who fell through time and space to earth, where he has no powers. No one believes his stories except for a local teen named Hamster.",femme fatale
32,Operación Red Sparrow,6.6,"['Action', 'Drama', 'Thriller']","Ballerina Dominika Egorova is recruited to 'Sparrow School,' a Russian intelligence service where she is forced to use her body as a weapon. Her first mission, targeting a C.I.A. agent, threatens to unravel the security of both nations.",femme fatale
33,Die Another Day,6.1,"['Action', 'Adventure', 'Thriller']","James Bond is sent to investigate the connection between a North Korean terrorist and a diamond mogul, who is funding the development of an international space weapon.",femme fatale
34,Freaky: este cuerpo está para matar,6.4,"['Comedy', 'Horror', 'Thriller']","After swapping bodies with a deranged serial killer, a young girl in high school discovers she has less than 24 hours before the change becomes permanent.",femme fatale
35,Mean Girls,7.0,['Comedy'],"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",femme fatale
36,Al servicio secreto de Su Majestad,6.7,"['Action', 'Adventure', 'Thriller']",James Bond woos a mob boss' daughter and goes undercover to uncover the true reason for Ernst Stavro Blofeld's allergy research in the Swiss Alps involving beautiful women from around the world.,femme fatale
37,Seducción fatal,4.9,"['Drama', 'Thriller']","A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.",femme fatale
38,Ángeles de Charlie,4.9,"['Action', 'Adventure', 'Comedy']","When a young systems engineer blows the whistle on a dangerous technology, Charlie's Angels are called into action, putting their lives on the line to protect us all.",femme fatale
39,Ex Machina,7.7,"['Drama', 'Sci-Fi', 'Thriller']",A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,femme fatale
40,Batman & Robin,3.8,"['Action', 'Sci-Fi']",Batman and Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.,femme fatale
41,Anna,6.6,"['Action', 'Thriller']",Beneath Anna Poliatova's striking beauty lies a secret that will unleash her indelible strength and skill to become one of the world's most feared government assassins.,femme fatale
42,The World Is Not Enough,6.4,"['Action', 'Adventure', 'Thriller']","James Bond uncovers a nuclear plot while protecting an oil heiress from her former kidnapper, an international terrorist who can't feel pain.",femme fatale
43,Kill Bill: Vol. 1,8.1,"['Action', 'Crime', 'Drama']","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",femme fatale
44,Hellboy,5.2,"['Action', 'Adventure', 'Fantasy']","Based on the graphic novels by Mike Mignola, Hellboy, caught between the worlds of the supernatural and human, battles an ancient sorceress bent on revenge.",femme fatale
45,Memento,8.4,"['Mystery', 'Thriller']",A man with short-term memory loss attempts to track down his wife's murderer.,femme fatale
46,Knight and Day,6.3,"['Action', 'Adventure', 'Comedy']",A young woman gets mixed up with a disgraced spy who is trying to clear his name.,femme fatale
47,The Matrix Reloaded,7.2,"['Action', 'Sci-Fi']","Freedom fighters Neo, Trinity and Morpheus continue to lead the revolt against the Machine Army, unleashing their arsenal of extraordinary skills and weaponry against the systematic forces of repression and exploitation.",femme fatale
48,Bride of Chucky,5.5,"['Comedy', 'Horror']","Chucky, the doll possessed by a serial killer, discovers the perfect mate to kill and revive into the body of another doll.",femme fatale
49,Batman Returns,7.0,"['Action', 'Crime', 'Fantasy']","While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta.",femme fatale
0,Forrest Gump,8.8,"['Drama', 'Romance']","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",fictional biography
1,Requiem for a Dream,8.3,['Drama'],The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,fictional biography
2,The Curious Case of Benjamin Button,7.8,"['Drama', 'Fantasy', 'Romance']","Tells the story of Benjamin Button, a man who starts aging backwards with consequences.",fictional biography
3,The Reader,7.6,"['Drama', 'Romance']","Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end, law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial.",fictional biography
4,Big Fish,8.0,"['Adventure', 'Drama', 'Fantasy']",A frustrated son tries to determine the fact from fiction in his dying father's life.,fictional biography
5,Citizen Kane,8.3,"['Drama', 'Mystery']","Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",fictional biography
6,Slumdog Millionaire,8.0,"['Drama', 'Romance']","A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",fictional biography
7,Una aventura extraordinaria,7.9,"['Adventure', 'Drama', 'Fantasy']","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",fictional biography
8,Boyhood,7.9,['Drama'],"The life of Mason, from early childhood to his arrival at college.",fictional biography
9,Nuovo Cinema Paradiso,8.5,"['Drama', 'Romance']",A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,fictional biography
10,Life of Brian,8.1,['Comedy'],"Born on the original Christmas in the stable next door to <a href=""/name/nm1832670"">Jesus Christ</a>, Brian of Nazareth spends his life being mistaken for a messiah.",fictional biography
11,El artista,7.9,"['Comedy', 'Drama', 'Romance']",An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,fictional biography
12,Giant,7.6,"['Drama', 'Western']",Sprawling epic covering the life of a Texas cattle rancher and his family and associates.,fictional biography
13,Hedwig and the Angry Inch,7.7,"['Comedy', 'Drama', 'Music']",A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.,fictional biography
14,Un hombre llamado Ove,7.7,"['Comedy', 'Drama', 'Romance']","Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.",fictional biography
15,Little Big Man,7.6,"['Adventure', 'Comedy', 'Drama']","Jack Crabb, looking back from extreme old age, tells of his life being raised by Native Americans and fighting with General Custer.",fictional biography
